"lakename","season","n_years","seasonal_avg__MUFA_perc","sd__MUFA_perc","seasonal_avg__PUFA_perc","sd__PUFA_perc","seasonal_avg__SAFA_perc","sd__SAFA_perc","seasonal_avg__c18.2w6","seasonal_avg__c18.3w6","seasonal_avg__c18.3w3","seasonal_avg__c18.4w3","seasonal_avg__c18.5w3","seasonal_avg__c20.4w6","seasonal_avg__c20.5w3","seasonal_avg__c22.6w3","sd__c18.2w6","sd__c18.3w6","sd__c18.3w3","sd__c18.4w3","sd__c18.5w3","sd__c20.4w6","sd__c20.5w3","sd__c22.6w3"
"Blackstrap Reservoir","iceoff",1,21.0722898655554,NA,50.1138365940346,NA,27.9508459004096,NA,8.10539306556209,1.13190366720694,21.9405013102505,6.97764050705111,3.81213053511029,0.191209092940241,1.54202660838341,0.84475828117694,NA,NA,NA,NA,NA,NA,NA,NA
"Blackstrap Reservoir","iceon",1,23.4772059275827,NA,51.0807849430085,NA,25.0705866165786,NA,6.73273966258981,0.875902049792191,20.8854886164365,8.03012979075858,5.55765437315581,0.292640926135107,2.25525239215698,1.15086959846949,NA,NA,NA,NA,NA,NA,NA,NA
"Broderick Reservoir","iceoff",1,39.8302527624086,NA,37.0914802720012,NA,22.8208985482765,NA,3.2190700767774,0.640674155144506,8.9507938776279,4.86832842373895,11.4127686635446,0.588314993681494,4.07849620796454,1.57064552059452,NA,NA,NA,NA,NA,NA,NA,NA
"Broderick Reservoir","iceon",1,32.7931886655523,NA,44.3109160820179,NA,22.5774502479545,NA,3.20824869363373,0.531579453688761,11.8293199838673,9.08516947467474,10.2222123467422,0.637162904068188,4.71498245869528,2.08955143122585,NA,NA,NA,NA,NA,NA,NA,NA
"Lake 227","iceoff",3,23.1159474976718,0.480584373531707,41.1299613130684,1.75747197345763,33.8464803964945,1.8212687985703,10.1702137776668,1.67944961240661,19.7509701419901,2.08299791660657,2.05071887724315,0.0305049458550533,0.225291275266608,0.0802670290115399,0.32178911452135,0.123113774295861,1.06575174804201,0.321030825782553,0.469461120915281,0.0156018164803807,0.140798072560457,0.0665982151674085
"Lake 227","iceon",3,20.7058857522391,1.13511145037202,45.2389410341816,7.19417902637614,32.2639604404708,5.15626836946395,8.99677302343025,1.44913436883406,19.6020250235181,5.69441469602858,2.70566922723057,0.17000802815996,1.42724279992566,0.750046762454251,1.43537501173173,0.433380313300591,2.5069245089954,3.15094220510257,1.36653092626588,0.0876575380740196,0.700182621025866,0.428505709154219
"Lake 239","iceoff",6,29.6357456245673,4.20352194864702,38.4963527883016,2.68343197517054,30.3563714409961,3.67391219305458,7.27705006365632,1.30191392291484,14.2622148619658,3.55525001861316,5.79090925156667,0.290073923201742,2.07868363586529,0.821174387918616,1.59065236647052,0.29499963158463,2.52264944748574,0.831357308432768,2.24543503606743,0.112549505232437,0.754513833503403,0.284677771282747
"Lake 239","iceon",6,23.4207016971411,5.97217061590244,50.2859478096343,7.62473181096409,25.6349976560541,1.55062839809155,6.07298000169439,0.844185852574745,18.7809827778514,9.35263277408671,6.04353465181607,0.393266408098627,3.08247832957313,1.5449772364676,1.24449382918078,0.214465117650567,4.4214626841245,4.20578258947216,1.41265778466514,0.155199692743804,1.28909651728313,0.697424023268335
"Lake Diefenbaker","iceoff",1,30.048292555038,NA,46.5201953784823,NA,23.0064836508821,NA,3.44961949889331,0.541093563360478,12.9698981754177,10.2848270293353,9.51930893176999,0.635033389579474,4.79626500758936,2.20531043622754,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Diefenbaker","iceon",1,16.3055110471954,NA,59.8125888645002,NA,23.3719281480606,NA,4.60755869822228,0.485516125444322,20.4414968525809,16.3038881023661,6.17238710141285,0.591961129725673,4.92059438993427,2.66931726144182,NA,NA,NA,NA,NA,NA,NA,NA
