"lakename","year","season","MUFA_perc","PUFA_perc","SAFA_perc","perc_c18.2w6","perc_c18.3w6","perc_c18.3w3","perc_c18.4w3","perc_c18.5w3","perc_c20.4w6","perc_c20.5w3","perc_c22.6w3"
"Blackstrap Reservoir",2013,"iceoff",21.0722898655554,50.1138365940346,27.9508459004096,8.10539306556209,1.13190366720694,21.9405013102505,6.97764050705111,3.81213053511029,0.191209092940241,1.54202660838341,0.84475828117694
"Blackstrap Reservoir",2013,"iceon",23.4772059275827,51.0807849430085,25.0705866165786,6.73273966258981,0.875902049792191,20.8854886164365,8.03012979075858,5.55765437315581,0.292640926135107,2.25525239215698,1.15086959846949
"Broderick Reservoir",2013,"iceoff",39.8302527624086,37.0914802720012,22.8208985482765,3.2190700767774,0.640674155144506,8.9507938776279,4.86832842373895,11.4127686635446,0.588314993681494,4.07849620796454,1.57064552059452
"Broderick Reservoir",2013,"iceon",32.7931886655523,44.3109160820179,22.5774502479545,3.20824869363373,0.531579453688761,11.8293199838673,9.08516947467474,10.2222123467422,0.637162904068188,4.71498245869528,2.08955143122585
"Lake 227",1971,"iceoff",22.6571196720211,39.3165051729309,35.7092014664046,10.5386771622344,1.8108573107493,18.8158244257602,1.74009927631413,1.53430590554069,0.0257981738824834,0.222255981903599,0.0707404471969675
"Lake 227",1971,"iceon",21.5394472700122,42.858790981926,33.5958140596829,9.53282532959398,1.5843827762345,19.1290166079156,4.2331839598508,2.31541951061876,0.121653069679982,1.01890596621719,0.512814154754675
"Lake 227",1974,"iceoff",23.6156743955521,42.8255115166611,32.0697071230321,9.94445757576318,1.56677753957735,20.9113298760757,2.13247927798152,2.45169082125604,0.0177984048599034,0.08603538934205,0.018945106423808
"Lake 227",1974,"iceon",19.4131144672442,53.3215755384795,26.5724264087793,7.37051737276843,0.964257966603675,22.3117594617829,9.31069122434292,4.22487325290313,0.271193250348291,2.23573023473677,1.2447051652249
"Lake 227",1976,"iceoff",23.0750484254421,41.2478672496133,33.7605326000467,10.0275065950027,1.6607139868932,19.5257561241343,2.37641519552405,2.16615990493272,0.0479182588227732,0.367582454554175,0.151115533413844
"Lake 227",1976,"iceon",21.1650955194608,39.5364565821395,36.6236408529503,10.0869763679283,1.79876236366399,17.3652990008558,3.53936890389203,1.57671491816982,0.117177764451607,1.02709219882303,0.492620967383182
"Lake 239",1969,"iceoff",33.1112581782934,39.0503330004831,26.9206995754997,5.62532294044769,1.00335282151094,12.7421160122472,4.47535844165655,7.98971021136243,0.408429945968254,2.88717727929446,1.14789848591297
"Lake 239",1969,"iceon",17.9438871154287,57.8573490057555,23.7284173411174,5.09229114041456,0.572884166645833,20.5744156176848,14.4137248546987,6.0348973658367,0.522990172789562,4.3065510403367,2.32031339889036
"Lake 239",1970,"iceoff",25.8341684892551,38.645018171561,33.4143966364669,8.49309878136349,1.5342049337986,15.2918748830346,3.64580993997223,3.9182194610507,0.223857960900772,1.70196546704683,0.716797469963791
"Lake 239",1970,"iceon",23.5112703510189,50.3483374668394,25.6109557816735,6.64197064164164,0.897657499828497,20.0926381309439,8.20883599528985,5.59769625009297,0.3163297953367,2.45264928813527,1.23877612351254
"Lake 239",1971,"iceoff",34.0977779331473,33.8695298781984,30.4015969780998,6.40840985037441,1.28261477795222,10.5203376245457,2.5512040827637,7.26667769315519,0.373229581676155,2.60327397641419,0.941111674184285
"Lake 239",1971,"iceon",26.232427738372,47.815281721981,25.1858833393731,4.79386856478037,0.736737772434406,15.2282603557137,10.097330612283,7.6044071224729,0.53257226613783,4.11567820791345,1.9650235950724
"Lake 239",1972,"iceoff",23.6711461290393,37.7659512361019,36.0062854615419,9.69153188701744,1.76112618351502,16.1554648275916,2.76841205125642,2.37760472172997,0.137469759895623,1.09991341596523,0.460481358764328
"Lake 239",1972,"iceon",33.0809976456421,37.4026652926842,28.279237827749,5.77223292217954,1.09181357671862,11.6628930822349,4.27633131998655,7.76491339059565,0.418929273254821,2.98797194686004,1.18159237101528
"Lake 239",1973,"iceoff",32.0762792357067,39.6191690023667,27.3292802848923,5.93348627528456,1.04102097262479,13.4160290454795,4.52388345632299,7.52971183326996,0.384143508563585,2.72919794007639,1.09768947962796
"Lake 239",1973,"iceon",16.5612509620905,58.1127060410536,24.7418500398769,5.89645306272717,0.68599171074609,21.8927659660977,13.7497078622014,5.0664184371146,0.448573899735129,3.75865123250803,2.08531540260631
"Lake 239",1974,"iceoff",29.0238437819623,42.0281154410986,28.065969709476,7.51045064745033,1.1891638480875,17.4474667788963,3.36683213970707,5.66353158883178,0.213312782206061,1.45057373639463,0.563067859058358
"Lake 239",1974,"iceon",23.1943763702945,50.179347329492,26.2636416065347,8.24106367842304,1.08003038907503,23.2349235144333,5.36986600006086,4.19287534478363,0.120203041337719,0.873368261685275,0.478842527708675
"Lake Diefenbaker",2013,"iceoff",30.048292555038,46.5201953784823,23.0064836508821,3.44961949889331,0.541093563360478,12.9698981754177,10.2848270293353,9.51930893176999,0.635033389579474,4.79626500758936,2.20531043622754
"Lake Diefenbaker",2013,"iceon",16.3055110471954,59.8125888645002,23.3719281480606,4.60755869822228,0.485516125444322,20.4414968525809,16.3038881023661,6.17238710141285,0.591961129725673,4.92059438993427,2.66931726144182
