"lakeid","year","lastopen","ice_on","lastice","ice_off","duration","comments"
"AL",1982,"1981-11-30","1981-12-09",,"1982-05-01",149,
"AL",1983,"1982-11-15","1982-11-22","1983-04-26","1983-04-27",160,
"AL",1984,"1983-11-18","1983-11-28","1984-04-19","1984-04-21",150,
"AL",1985,"1984-11-08","1984-11-09","1985-04-19","1985-04-21",163,
"AL",1986,"1985-11-11","1985-11-25","1986-04-11","1986-04-12",146,
"AL",1987,"1986-11-11","1986-11-14","1987-04-09","1987-04-10",149,
"AL",1988,"1987-11-16","1987-11-23","1988-04-11","1988-04-12",145,
"AL",1989,"1988-11-28","1988-11-30","1989-04-24","1989-04-26",148,
"AL",1990,"1989-11-20","1989-11-22","1990-04-16","1990-04-17",148,
"AL",1991,"1990-11-30","1990-12-03","1991-04-17","1991-04-18",138,
"AL",1992,"1991-11-06","1991-11-08","1992-04-27","1992-04-28",174,
"AL",1993,"1992-11-13","1992-11-16","1993-04-30","1993-05-02",168,
"AL",1994,"1993-11-24","1993-11-29","1994-04-18","1994-04-20",144,
"AL",1995,"1994-11-23","1994-11-26","1995-04-22","1995-04-25",151,
"AL",1996,"1995-11-07","1995-11-09","1996-05-08","1996-05-09",184,
"AL",1997,"1996-11-13","1996-11-14","1997-04-26","1997-04-28",165,
"AL",1998,"1997-11-14","1997-11-17","1998-04-08","1998-04-09",145,
"AL",1999,"1998-12-10","1998-12-11","1999-04-12","1999-04-14",124,
"AL",2000,"1999-11-30","1999-12-01","2000-03-24","2000-03-26",116,
"AL",2001,"2000-11-17","2000-11-20","2001-04-20","2001-04-23",155,
"AL",2002,"2001-12-09","2001-12-11","2002-04-17","2002-04-19",130,
"AL",2003,"2002-11-15","2002-11-18","2003-04-22","2003-04-23",158,
"AL",2004,"2003-11-26","2003-11-28","2004-04-16","2004-04-19",144,
"AL",2005,"2004-12-10","2004-12-13","2005-04-11","2005-04-12",122,
"AL",2006,"2005-11-22","2005-11-25","2006-04-13","2006-04-14",142,
