"lakeid","year","ice_on","ice_off","duration","comments"
"ME",,"1853-12-27",,,
"ME","1853",,"1853-04-05",,
"ME","1856","1855-12-18","1856-04-14",118,
"ME","1857","1856-12-06","1857-05-06",151,
"ME","1858","1857-11-25","1858-03-26",121,
"ME","1859","1858-12-08","1859-03-14",96,
"ME","1860","1859-12-07","1860-03-26",110,
"ME","1861","1860-12-14","1861-04-10",117,
"ME","1862","1861-12-02","1862-04-13",132,
"ME","1863","1862-12-26","1863-04-09",104,
"ME","1864","1863-12-18","1864-04-21",125,
"ME","1865","1864-12-08","1865-04-05",118,
"ME","1866","1865-12-14","1866-04-18",125,
"ME","1867","1866-12-18","1867-04-20",123,
"ME","1868","1867-12-12","1868-03-31",110,
"ME","1869","1868-12-10","1869-04-16",127,
"ME","1870","1869-12-02","1870-04-12",131,
"ME","1871","1870-12-24","1871-04-02",99,
"ME","1872","1871-12-19","1872-04-23",126,
"ME","1873","1872-11-30","1873-04-23",144,
"ME","1874","1873-11-29","1874-04-14",136,
"ME","1875","1874-12-10","1875-04-15",126,
"ME","1876","1876-01-10","1876-04-10",91,
"ME","1877","1876-12-08","1877-04-17",130,
"ME","1878","1878-01-06","1878-03-09",62,
"ME","1879","1878-12-21","1879-04-12",112,
"ME","1880","1879-12-17","1880-03-25",99,
"ME","1881","1880-11-23","1881-05-03",161,
"ME","1882","1882-01-02","1882-03-21",78,
"ME","1883","1882-12-10","1883-04-13",124,
"ME","1884","1883-12-18","1884-04-15",119,
"ME","1885","1884-12-17","1885-04-20",124,
"ME","1886","1885-12-12","1886-04-19",128,
"ME","1887","1886-12-05","1887-04-15",131,
"ME","1888","1887-12-24","1888-04-15",113,
"ME","1889","1889-01-02","1889-03-31",88,
"ME","1890","1890-01-14","1890-03-30",75,
"ME","1891","1890-12-26","1891-04-16",111,
"ME","1892","1891-12-27","1892-04-02",97,
"ME","1893","1892-12-16","1893-04-07",112,
"ME","1894","1893-12-04","1894-03-15",101,
"ME","1895","1894-12-28","1895-04-08",101,
"ME","1896","1896-01-05","1896-04-05",91,
"ME","1897","1896-12-21","1897-04-10",110,
"ME","1898","1897-12-17","1898-03-27",100,
"ME","1899","1898-12-09","1899-04-18",130,
"ME","1900","1899-12-27","1900-04-17",111,
"ME","1901","1900-12-25","1901-04-11",107,
"ME","1902","1901-12-15","1902-03-30",105,
"ME","1903","1902-12-25","1903-03-24",89,
"ME","1904","1903-12-13","1904-04-17",126,
"ME","1905","1904-12-14","1905-04-01",108,
"ME","1906","1906-01-01","1906-04-08",97,
"ME","1907","1906-12-20","1907-03-24",94,
"ME","1908","1908-01-01","1908-03-24",83,
"ME","1909","1908-12-22","1909-04-07",106,
"ME","1910","1909-12-18","1910-03-26",98,
"ME","1911","1910-12-09","1911-03-20",101,
"ME","1912","1911-12-28","1912-04-14",108,
"ME","1913","1912-12-24","1913-04-02",99,
"ME","1914","1914-01-12","1914-04-10",88,
"ME","1915","1914-12-16","1915-04-10",115,
"ME","1916","1915-12-28","1916-04-08",102,
"ME","1917","1916-12-16","1917-04-11",116,
"ME","1918","1917-12-11","1918-04-05",115,
"ME","1919","1919-01-03","1919-03-26",82,
"ME","1920","1919-12-09","1920-03-28",110,
"ME","1921","1920-12-25","1921-03-16",81,
"ME","1922","1921-12-25","1922-03-31",96,
"ME","1923","1922-12-16","1923-04-20",125,
"ME","1924","1924-01-01","1924-04-14",104,
"ME","1925","1924-12-19","1925-04-03",105,
"ME","1926","1925-12-16","1926-04-19",124,
"ME","1927","1926-12-06","1927-03-19",103,
"ME","1928","1927-12-17","1928-04-01",106,
"ME","1929","1928-12-21","1929-03-27",96,
"ME","1930","1929-12-03","1930-03-20",107,
"ME","1931","1930-12-16","1931-03-24",98,
"ME","1932","1932-01-30","1932-04-04",65,
"ME","1933","1932-12-10","1933-04-04",115,
"ME","1934","1933-12-25","1934-03-26",91,
"ME","1935","1934-12-24","1935-03-28",94,
"ME","1936","1935-12-20","1936-03-30",101,
"ME","1937","1936-12-07","1937-04-13",121,
"ME","1938","1937-12-07","1938-03-22",105,
"ME","1939","1938-12-28","1939-04-04",97,
"ME","1940","1940-01-02","1940-04-16",105,
"ME","1941","1941-01-05","1941-04-11",96,
"ME","1942","1942-01-03","1942-03-26",82,
"ME","1943","1942-12-07","1943-04-02",116,
"ME","1944","1943-12-16","1944-04-08",114,
"ME","1945","1944-12-18","1945-03-20",92,
"ME","1946","1945-12-13","1946-03-21",98,
"ME","1947","1946-12-30","1947-04-10",101,
"ME","1948","1947-12-21","1948-04-03",104,
"ME","1949","1948-12-24","1949-03-30",96,
"ME","1950","1949-12-23","1950-04-11",109,
"ME","1951","1950-12-11","1951-04-12",122,
"ME","1952","1951-12-16","1952-04-08",114,
"ME","1953","1952-12-30","1953-03-21",81,
"ME","1954","1953-12-30","1954-03-25",85,
"ME","1955","1955-01-02","1955-04-04",92,
"ME","1956","1955-12-12","1956-04-04",114,
"ME","1957","1956-12-14","1957-04-04",111,
