lakeid,year4,sampledate,depth_range_m,rep,tri_chl_spec,mono_chl_spec,phaeo_spec,uncorrect_chl_fluor,correct_chl_fluor,phaeo_fluor,flag_spec,flag_fluor
ME,1995,1/24/1995,0-2,1,16,,,,,,FG,
ME,1995,1/24/1995,0-8,1,10,,,,,,FG,
MO,1995,1/24/1995,0-2,1,2.6,,,,,,FG,
MO,1995,1/24/1995,0-8,1,2.2,,,,,,FG,
ME,1995,3/8/1995,0-2,1,18.8,,,,,,FG,
ME,1995,3/8/1995,0-8,1,11.7,,,,,,FG,
MO,1995,3/8/1995,0-2,1,18.8,,,,,,FG,
ME,1995,3/28/1995,0-2,1,15.4,,,,,,FG,
ME,1995,3/28/1995,0-8,1,15.2,,,,,,FG,
MO,1995,3/28/1995,0-2,1,28.8,,,,,,FG,
MO,1995,3/28/1995,0-8,1,27.6,,,,,,FG,
MO,1995,4/11/1995,0-2,1,19.7,,,,,,FG,
MO,1995,4/11/1995,0-8,1,20.9,,,,,,FG,
ME,1995,4/24/1995,0-2,1,16,,,,,,FG,
ME,1995,4/24/1995,0-8,1,26,,,,,,FG,
MO,1995,4/24/1995,0-2,1,13.9,,,,,,FG,
MO,1995,4/24/1995,0-8,1,13.8,,,,,,FG,
ME,1995,5/9/1995,0-2,1,3.9,,,,,,FG,
ME,1995,5/9/1995,0-8,1,5.4,,,,,,FG,
MO,1995,5/9/1995,0-2,1,0.2,,,,,,FG,
ME,1995,5/23/1995,0-2,1,0.3,,,,,,FG,
ME,1995,5/23/1995,0-8,1,0.5,,,,,,FG,
MO,1995,5/23/1995,0-2,1,0.8,,,,,,FG,
ME,1995,6/6/1995,0-8,1,1.5,,,,,,FG,
MO,1995,6/6/1995,0-2,1,6.4,,,,,,FG,
ME,1995,6/21/1995,0-2,1,19.5,,,,,,FG,
MO,1995,6/21/1995,0-2,1,5.6,,,,,,FG,
ME,1995,7/6/1995,0-8,1,22.6,,,,,,FG,
MO,1995,7/7/1995,0-2,1,17.2,,,,,,FG,
ME,1995,7/18/1995,0-8,1,13.8,,,,,,FG,
MO,1995,7/18/1995,0-2,1,12.8,,,,,,FG,
