"lakeid","year4","sampledate","sta","depth_range","division","taxa_name","gald","cells_per_nu","nu_per_ml","cells_per_ml","biovolume_conc","biomass_conc","relative_total_biovolume","genus"
"MO",1995,"1995-01-24",,"0-2m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",8.25,1,539.211,539.211,33399.689,0.03339969,8.801,"Rhodomonas"
"MO",1995,"1995-01-24",,"0-2m","Cryptophyta","Cryptomonas ovata ",30.8,1,6.576,6.576,16262.857,0.01626286,4.285,"Cryptomonas"
"MO",1995,"1995-01-24",,"0-2m","Cyanophyta","Anabaena flos-aquae ",28.6,7.5,4.384,32.88,2929.577,0.00292958,0.772,"Anabaena"
"MO",1995,"1995-01-24",,"0-2m","Cyanophyta","Aphanizomenon flos-aquae ",123.475,28.063,89.869,2521.9937,94860.258,0.09486026,24.997,"Aphanizomenon"
"MO",1995,"1995-01-24",,"0-2m","Cyanophyta","Aphanocapsa delicatissima ",18.333,20,156.261,3125.22,690.672,0.00069067,0.182,"Aphanocapsa"
"MO",1995,"1995-01-24",,"0-2m","Cyanophyta","Lyngbya contorta ",24.2,23,2.192,50.416,421.395,0.0004214,0.111,"Lyngbya"
"MO",1995,"1995-01-24",,"0-2m","Cyanophyta","Synechocystis  ",1.65,1,885.476,885.476,2080.322,0.00208032,0.548,"Synechocystis"
"MO",1995,"1995-01-24",,"0-2m","Pyrrhophyta","Gymnodinium sp3 ",6.6,1,2.192,2.192,117.183,0.00011718,0.031,"Gymnodinium"
"MO",1995,"1995-01-24",,"0-2m","Miscellaneous","Miscellaneous",2.2,1,989.65,989.65,5511.266,0.00551127,1.452,
"MO",1995,"1995-01-24",,"0-2m","Miscellaneous","Miscellaneous",2.2,1,104.174,104.174,580.133,0.00058013,0.153,
"ME",1995,"1995-01-24",,"0-8m","Bacillariophyta","Stephanodiscus hantzschii ",13.2,1,4.384,4.384,2691.065,0.00269107,0.672,"Stephanodiscus"
"ME",1995,"1995-01-24",,"0-8m","Bacillariophyta","Cyclostephanos invisitatus ",3.3,1,4427.382,4427.382,43714.597,0.0437146,10.918,"Cyclostephanos"
"ME",1995,"1995-01-24",,"0-8m","Chrysophyta","Kephyrion sp5 ",4.4,1,52.087,52.087,2320.533,0.00232053,0.58,"Kephyrion"
"MO",1995,"1995-01-24",,"0-2m","Bacillariophyta","Asterionella formosa ",80.85,6.75,19.727,133.1573,13342.876,0.01334288,3.516,"Asterionella"
"MO",1995,"1995-01-24",,"0-2m","Chrysophyta","Mallomonas  ",22,1,2.192,2.192,1098.591,0.00109859,0.289,"Mallomonas"
"MO",1995,"1995-01-24",,"0-2m","Chrysophyta","Erkenia subaequiciliata ",4.4,1,52.087,52.087,2320.533,0.00232053,0.611,"Erkenia"
"MO",1995,"1995-01-24",,"0-2m","Chlorophyta","Monoraphidium arcuatum",19.8,1,26.303,26.303,1056.16,0.00105616,0.278,"Monoraphidium"
"MO",1995,"1995-01-24",,"0-2m","Chlorophyta","Closterium moniliferum ",143,1,2.192,2.192,159000,0.159,41.895,"Closterium"
"MO",1995,"1995-01-24",,"0-2m","Chlorophyta","Eudorina elegans ",22,16,2.192,35.072,5273.238,0.00527324,1.39,"Eudorina"
"MO",1995,"1995-01-24",,"0-2m","Chlorophyta","Oocystis parva ",13.2,3,4.384,13.152,1074.178,0.00107418,0.283,"Oocystis"
"MO",1995,"1995-01-24",,"0-2m","Chlorophyta","Quadrigula lacustris ",30.25,1.75,17.535,30.6863,7878.255,0.00787826,2.076,"Quadrigula"
"MO",1995,"1995-01-24",,"0-2m","Chlorophyta","Scenedesmus bijuga ",11,2,2.192,4.384,732.861,0.00073286,0.193,"Scenedesmus"
"MO",1995,"1995-01-24",,"0-2m","Chlorophyta","Schroederia judayi ",13.2,1,2.192,2.192,87.133,8.713e-05,0.023,"Schroederia"
"MO",1995,"1995-01-24",,"0-2m","Cryptophyta","Cryptomonas erosa ",17.6,1,17.535,17.535,8281.572,0.00828157,2.182,"Cryptomonas"
"MO",1995,"1995-01-24",,"0-2m","Cryptophyta","Rhodomonas minuta ",15.4,1,252.07,252.07,22503.031,0.02250303,5.93,"Rhodomonas"
"ME",1995,"1995-01-24",,"0-8m","Chlorophyta","Chlamydomonas globosa ",8.8,1,4.384,4.384,1562.441,0.00156244,0.39,"Chlamydomonas"
"ME",1995,"1995-01-24",,"0-8m","Cryptophyta","Cryptomonas erosa ",16.5,1,227.959,227.959,87833.652,0.08783365,21.937,"Cryptomonas"
"ME",1995,"1995-01-24",,"0-8m","Cryptophyta","Cryptomonas lucens ",8.8,1,4.384,4.384,290.507,0.00029051,0.073,"Cryptomonas"
"ME",1995,"1995-01-24",,"0-8m","Cryptophyta","Rhodomonas minuta ",5.5,1,5000.337,5000.337,102000,0.102,25.477,"Rhodomonas"
"ME",1995,"1995-01-24",,"0-8m","Cryptophyta","Cryptomonas ovata ",26.4,1,65.757,65.757,102400,0.1024,25.578,"Cryptomonas"
"ME",1995,"1995-01-24",,"0-8m","Cyanophyta","Aphanizomenon flos-aquae",81.4,18.5,4.384,81.104,3050.534,0.00305053,0.762,"Aphanizomenon"
"ME",1995,"1995-01-24",,"0-8m","Cyanophyta","Aphanothece nidulans ",11,12,104.174,1250.088,2200.148,0.00220015,0.55,"Aphanothece"
"ME",1995,"1995-01-24",,"0-8m","Cyanophyta","Oscillatoria limnetica ",60.133,13.667,13.151,179.7347,3004.73,0.00300473,0.75,"Pseudanabaena"
"ME",1995,"1995-01-24",,"0-8m","Cyanophyta","Synechocystis  ",4.4,1,104.174,104.174,4641.066,0.00464107,1.159,"Synechocystis"
"ME",1995,"1995-01-24",,"0-8m","Pyrrhophyta","Gymnodinium sp3 ",6.6,1,4.384,4.384,234.366,0.00023437,0.059,"Gymnodinium"
"ME",1995,"1995-01-24",,"0-8m","Pyrrhophyta","Peridinium umbonatum ",11,1,4.384,4.384,2293.108,0.00229311,0.573,"Peridinium"
"ME",1995,"1995-01-24",,"0-8m","Miscellaneous","Miscellaneous",2.2,1,2031.387,2031.387,11312.598,0.0113126,2.825,
"ME",1995,"1995-01-24",,"0-8m","Miscellaneous","Miscellaneous",4.4,1,677.129,677.129,30166.929,0.03016693,7.534,
"ME",1995,"1995-01-24",,"0-8m","Bacillariophyta","Achnanthes minutissima ",13.2,1,8.768,8.768,652.979,0.00065298,0.163,"Achnanthes"
"ME",1995,"1995-03-08",,"0-8m","Bacillariophyta","Cyclostephanos invisitatus ",6.6,1,104.174,104.174,8228.63,0.00822863,1.259,"Cyclostephanos"
"ME",1995,"1995-03-08",,"0-8m","Chlorophyta","Chlamydomonas incerta ",11,1,8.768,8.768,6103.284,0.00610328,0.933,"Chlamydomonas"
"ME",1995,"1995-03-08",,"0-8m","Cryptophyta","Cryptomonas erosa ",16.133,1,520.868,520.868,194000,0.194,29.678,"Cryptomonas"
"ME",1995,"1995-03-08",,"0-8m","Cryptophyta","Rhodomonas minuta ",11,1,781.303,781.303,68727.383,0.06872738,10.512,"Rhodomonas"
"ME",1995,"1995-03-08",,"0-8m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",6.875,1,1666.779,1666.779,40541.664,0.04054166,6.201,"Rhodomonas"
"ME",1995,"1995-03-08",,"0-8m","Cryptophyta","Cryptomonas ovata ",33,1,17.535,17.535,53340.275,0.05334028,8.158,"Cryptomonas"
"ME",1995,"1995-03-08",,"0-8m","Pyrrhophyta","Gymnodinium sp1 ",26.4,1,4.384,4.384,14999.432,0.01499943,2.294,"Gymnodinium"
