lakeid,year4,sampledate,sta,depth_range,division,taxa_name,gald,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,relative_total_biovolume,genus
MO,1995,1/24/1995,,0-2m,Cryptophyta,Rhodomonas minuta var. nannoplanctica,8.25,1,539.211,539.211,33399.689,0.03339969,0.08801,Rhodomonas
MO,1995,1/24/1995,,0-2m,Cryptophyta,Cryptomonas ovata ,30.8,1,6.576,6.576,16262.857,0.01626286,0.04285,Cryptomonas
MO,1995,1/24/1995,,0-2m,Cyanophyta,Anabaena flos-aquae ,28.6,7.5,4.384,32.88,2929.577,0.00292958,0.00772,Anabaena
MO,1995,1/24/1995,,0-2m,Cyanophyta,Aphanizomenon flos-aquae ,123.475,28.063,89.869,2521.9937,94860.258,0.09486026,0.24997,Aphanizomenon
MO,1995,1/24/1995,,0-2m,Cyanophyta,Aphanocapsa delicatissima ,18.333,20,156.261,3125.22,690.672,0.00069067,0.00182,Aphanocapsa
MO,1995,1/24/1995,,0-2m,Cyanophyta,Lyngbya contorta ,24.2,23,2.192,50.416,421.395,0.0004214,0.00111,Lyngbya
MO,1995,1/24/1995,,0-2m,Cyanophyta,Synechocystis  ,1.65,1,885.476,885.476,2080.322,0.00208032,0.00548,Synechocystis
MO,1995,1/24/1995,,0-2m,Pyrrhophyta,Gymnodinium sp3 ,6.6,1,2.192,2.192,117.183,0.00011718,0.00031,Gymnodinium
MO,1995,1/24/1995,,0-2m,Miscellaneous,Miscellaneous,2.2,1,989.65,989.65,5511.266,0.00551127,0.01452,
MO,1995,1/24/1995,,0-2m,Miscellaneous,Miscellaneous,2.2,1,104.174,104.174,580.133,0.00058013,0.00153,
ME,1995,1/24/1995,,0-8m,Bacillariophyta,Stephanodiscus hantzschii ,13.2,1,4.384,4.384,2691.065,0.00269107,0.00672,Stephanodiscus
ME,1995,1/24/1995,,0-8m,Bacillariophyta,Cyclostephanos invisitatus ,3.3,1,4427.382,4427.382,43714.597,0.0437146,0.10918,Cyclostephanos
ME,1995,1/24/1995,,0-8m,Chrysophyta,Kephyrion sp5 ,4.4,1,52.087,52.087,2320.533,0.00232053,0.0058,Kephyrion
MO,1995,1/24/1995,,0-2m,Bacillariophyta,Asterionella formosa ,80.85,6.75,19.727,133.1573,13342.876,0.01334288,0.03516,Asterionella
MO,1995,1/24/1995,,0-2m,Chrysophyta,Mallomonas  ,22,1,2.192,2.192,1098.591,0.00109859,0.00289,Mallomonas
MO,1995,1/24/1995,,0-2m,Chrysophyta,Erkenia subaequiciliata ,4.4,1,52.087,52.087,2320.533,0.00232053,0.00611,Erkenia
MO,1995,1/24/1995,,0-2m,Chlorophyta,Monoraphidium arcuatum,19.8,1,26.303,26.303,1056.16,0.00105616,0.00278,Monoraphidium
MO,1995,1/24/1995,,0-2m,Chlorophyta,Closterium moniliferum ,143,1,2.192,2.192,159000,0.159,0.41895,Closterium
MO,1995,1/24/1995,,0-2m,Chlorophyta,Eudorina elegans ,22,16,2.192,35.072,5273.238,0.00527324,0.0139,Eudorina
MO,1995,1/24/1995,,0-2m,Chlorophyta,Oocystis parva ,13.2,3,4.384,13.152,1074.178,0.00107418,0.00283,Oocystis
MO,1995,1/24/1995,,0-2m,Chlorophyta,Quadrigula lacustris ,30.25,1.75,17.535,30.6863,7878.255,0.00787826,0.02076,Quadrigula
MO,1995,1/24/1995,,0-2m,Chlorophyta,Scenedesmus bijuga ,11,2,2.192,4.384,732.861,0.00073286,0.00193,Scenedesmus
MO,1995,1/24/1995,,0-2m,Chlorophyta,Schroederia judayi ,13.2,1,2.192,2.192,87.133,0.00008713,0.00023,Schroederia
MO,1995,1/24/1995,,0-2m,Cryptophyta,Cryptomonas erosa ,17.6,1,17.535,17.535,8281.572,0.00828157,0.02182,Cryptomonas
MO,1995,1/24/1995,,0-2m,Cryptophyta,Rhodomonas minuta ,15.4,1,252.07,252.07,22503.031,0.02250303,0.0593,Rhodomonas
ME,1995,1/24/1995,,0-8m,Chlorophyta,Chlamydomonas globosa ,8.8,1,4.384,4.384,1562.441,0.00156244,0.0039,Chlamydomonas
ME,1995,1/24/1995,,0-8m,Cryptophyta,Cryptomonas erosa ,16.5,1,227.959,227.959,87833.652,0.08783365,0.21937,Cryptomonas
ME,1995,1/24/1995,,0-8m,Cryptophyta,Cryptomonas lucens ,8.8,1,4.384,4.384,290.507,0.00029051,0.00073,Cryptomonas
ME,1995,1/24/1995,,0-8m,Cryptophyta,Rhodomonas minuta ,5.5,1,5000.337,5000.337,102000,0.102,0.25477,Rhodomonas
ME,1995,1/24/1995,,0-8m,Cryptophyta,Cryptomonas ovata ,26.4,1,65.757,65.757,102400,0.1024,0.25578,Cryptomonas
ME,1995,1/24/1995,,0-8m,Cyanophyta,Aphanizomenon flos-aquae,81.4,18.5,4.384,81.104,3050.534,0.00305053,0.00762,Aphanizomenon
ME,1995,1/24/1995,,0-8m,Cyanophyta,Aphanothece nidulans ,11,12,104.174,1250.088,2200.148,0.00220015,0.0055,Aphanothece
ME,1995,1/24/1995,,0-8m,Cyanophyta,Oscillatoria limnetica ,60.133,13.667,13.151,179.7347,3004.73,0.00300473,0.0075,Pseudanabaena
ME,1995,1/24/1995,,0-8m,Cyanophyta,Synechocystis  ,4.4,1,104.174,104.174,4641.066,0.00464107,0.01159,Synechocystis
ME,1995,1/24/1995,,0-8m,Pyrrhophyta,Gymnodinium sp3 ,6.6,1,4.384,4.384,234.366,0.00023437,0.00059,Gymnodinium
ME,1995,1/24/1995,,0-8m,Pyrrhophyta,Peridinium umbonatum ,11,1,4.384,4.384,2293.108,0.00229311,0.00573,Peridinium
ME,1995,1/24/1995,,0-8m,Miscellaneous,Miscellaneous,2.2,1,2031.387,2031.387,11312.598,0.0113126,0.02825,
ME,1995,1/24/1995,,0-8m,Miscellaneous,Miscellaneous,4.4,1,677.129,677.129,30166.929,0.03016693,0.07534,
ME,1995,1/24/1995,,0-8m,Bacillariophyta,Achnanthes minutissima ,13.2,1,8.768,8.768,652.979,0.00065298,0.00163,Achnanthes
ME,1995,3/8/1995,,0-8m,Bacillariophyta,Cyclostephanos invisitatus ,6.6,1,104.174,104.174,8228.63,0.00822863,0.01259,Cyclostephanos
ME,1995,3/8/1995,,0-8m,Chlorophyta,Chlamydomonas incerta ,11,1,8.768,8.768,6103.284,0.00610328,0.00933,Chlamydomonas
ME,1995,3/8/1995,,0-8m,Cryptophyta,Cryptomonas erosa ,16.133,1,520.868,520.868,194000,0.194,0.29678,Cryptomonas
